"title","is_spam"
"Maaf ya mas ",1
"Mas ni dr gojek posisi ujan gini mana ",1
"Diskon hingga Rp 100 ribu pakai CIMB Clicks di Jauhdekat.com, inap.co.id dan Nutrimart.co.id. Promosi s/d 30 Sept'16. S&K berlaku. Info 14041",0
"Aktivasi layanan Internet 3 Harian 1GB berhasil. Kuota sdh ditambahkan. Utk informasi? kartu Tri di *123# atau BimaTri",1
"Sudah cek pulsamu di *111*1#? Ayo coba isi kuotamu dengan Internet 3GB 3 hari hanya Rp30000. Balas SMS ini dgn ketik JH utk membeli. N295",1
"Kuota Internet sudah habis. Segera isi kuota Anda di *123# atau akses aplikasi BimaTRI dari gadget Anda. Info:123",1
"Sudah cek pulsamu di *111*1#? Ayo coba isi kuotamu dengan Internet 3GB 3 hari hanya Rp30000. Balas SMS ini dgn ketik JH utk membeli. N295",1
"Anda sedang menikmati Paket Reguler dgn sisa kuota 5118 KB. Dapatkan beragam Paket INTERNET HEMAT Tri di *123*3#.",1
"Anda sedang menikmati Paket Reguler dgn sisa kuota 10240 KB. Dapatkan beragam Paket INTERNET HEMAT Tri di *123*3#.",1
"PIN Anda 3863. Masukkan PIN ini untuk melanjutkan transaksi pembayaran Fortumo. PIN ini berlaku untuk 30 menit",1
"ALARM: ""[EC2][production-lathybrid] Lateral Hybrid Model Too Old"" in Asia Pacific - Singapore http://opsg.in/i/306",1
"ALARM: ""[EC2][production-latpublish][production-worker][ORANGE]CPU i..."" in Asia Pacific - Singapore http://opsg.in/i/297",1
"ALARM: ""[EC2][production-latpublish][production-worker][ORANGE]Memor..."" in Asia Pacific - Singapore http://opsg.in/i/295",1
"Traveloka.com: Your e-ticket summary
                                                         16-09-2016/18:00/CITILINK QG-967/SRG-CGK/C9JDJG
                                                         Total: 1 passenger(s)",1
"Gunakan kode OTP efge8r1p atas pembayaran belanja Anda pada merchant TRAVELOKA.COM sejumlah Rp. 578.135. No transaksi 114957699. BCA KlikPay",1
"ALARM: ""[EC2][production-analisis][RED] High Memory Usage"" in Asia Pacific - Singapore http://opsg.in/i/282",1
"Assallamualaikum. Ayo aktifkan RBT YUK SHOLAT yg hanya aktif saat jam-jam Sholat dan kamu juga mengajak temanmu untuk Sholat lho. Untuk aktivasi balas: Y",1
"You have an alert notification http://opsg.in/o",1
"ALARM: ""[EC2][production-analisis][production-worker][ORANGE]Memory ..."" in Asia Pacific - Singapore http://opsg.in/i/245",1
"Devs,
                                                       
                                                       Submit aplikasi buatan anda di Indosat Ooredoo Wireless Innovation Contest (www.dicoding.com/challenges/83).
                                                       Cek email untuk details nya. Thx
                                                       -dicoding-",1
"Pesanan Anda Moreniq Gadget and Charger Org... (12002338261) telah diterima DESTI pada 13/9/2016. Terima kasih telah berbelanja di Blibli.com.",1
"Diskon hingga Rp 100 ribu pakai CIMB Clicks di Bhinneka.com. Babyzania.com, TheBodyShop.co.id dan Gramedia.com. Promosi s/d 30 Sept'16. S&K berlaku. Info 14041",0
"Sudah cek pulsamu di *111*1#? Ayo coba isi kuotamu dengan Internet 3GB 3 hari hanya Rp30000. Balas SMS ini dgn ketik GH utk membeli. N242",1
"BONUS PULSA Rp 10.000 cukup dgn nelpon minimal 1 menit aja hari ini! Yuk, buruan telpon teman-teman kamu skrg! V839",0
"Harap masukkan 2354 di LINE dalam 30 menit.",1
"BONUS 3GB utk nonton film WARKOP di http://goo.gl/DYfGR3
                                                       (KlikFilm) slm 7hr. Ckp beli Kuota++ min. 1.25GB di *123*3*4#.
                                                       Info: www.tri.co.id/paketwarkopdki D1003",0
"Sudah cek pulsamu di *111*1#? Ayo coba isi kuotamu dengan Internet 3GB 3 hari hanya Rp30000. Balas SMS ini dgn ketik GH utk membeli. N242",1
"Use mPIN only for Financial Transactions. Please do not give to anyone else!
                                                       Valid until 12Sep16 00:37
                                                       893962
                                                       706664
                                                       822075
                                                       Ref no. RB3033376362",1
"Puaskan Liburanmu dgn Paket Internet 4G LTE! Hanya Rp45rb dpt 2GB
                                                       Kuota Regular+30GB diJaringan 4G+30Mnt Bebas Nelp Semua Operator.
                                                       Beli di *123*3*3*3#.N254",1
"BONUS PULSA Rp 10.000 cukup dgn nelpon minimal 1 menit aja hari ini! Yuk, buruan telpon teman-teman kamu skrg! V839",1
"Sudah cek pulsamu di *111*1#? Ayo coba isi kuotamu dengan Internet 3GB 3 hari hanya Rp30000. Balas SMS ini dgn ketik GH utk membeli. N242",1
"Puaskan Liburanmu dgn Paket Internet 4G LTE! Hanya Rp45rb dpt 2GB
                                                       Kuota Regular+30GB diJaringan 4G+30Mnt Bebas Nelp Semua Operator.
                                                       Beli di *123*3*3*3#.N254",0
"Sudah cek pulsamu di *111*1#? Ayo coba isi kuotamu dengan Internet 3GB 3 hari hanya Rp30000. Balas SMS ini dgn ketik GH utk membeli. N242",1
"Mau Facebook-an tapi tdk punya akses internet? tekan *325# kamu
                                                       bisa facebook-an sepuasnya, mulai dari perbarui status,kirim
                                                       pesan, komentar & lainnya. Info:123",0
"ALARM: ""[EC2][production-analisis][RED] High Memory Usage"" in Asia Pacific - Singapore http://opsg.in/i/170",1
"Pesanan Moreniq Gadget and Charger Org... 12002338261 tgl 8/9/2016 sdh diproses & akan dikirim JNE resi 8811621604640545 Cek status di http://blib.li/lacak",1
"ALARM: ""[EC2][production-analisis][RED] High Memory Usage"" in Asia Pacific - Singapore http://opsg.in/i/165",1
"ALARM: ""[EC2][production-analisis][RED] High Memory Usage"" in Asia Pacific - Singapore http://opsg.in/i/164",1
"RBT KEKINIAN GRATIS 30hr pertama paket tahunan : 1.Dia f-Anji. 2.Salah-SOUNDWAVE. 3.Turis-Lyla. 4.Sahabat Jadi Cinta-Mike Mohede. 5.Pelangi-HIVI. S dan K berlaku. Pilih dan balas sesuai nomor urut, ketik: 1, 2, 3, 4 atau 5
                                                       RBT Gratis 30 hr lainy klik disni http://bit.ly/Gratis30Hari",1
"ALARM: ""[EC2][production-analisis][RED] High Memory Usage"" in Asia Pacific - Singapore http://opsg.in/i/163",1
"BONUS 3GB utk nonton film WARKOP di http://goo.gl/DYfGR3
                                                       (KlikFilm) slm 7hr. Ckp beli Kuota++ min. 1.25GB di *123*3*4#.
                                                       Info: www.tri.co.id/paketwarkopdki D1000",1
"Yang spesial buat kamu, bayar SEDIKIT dapat BANYAK! HANYA Rp15.000 , dapat 1GB puas Internetan 7 hari. Beli Paket Harian 1GB 7 hari di *111*1#. Info123.D983",0
"ALARM: ""[EC2][production-analisis][RED] High Memory Usage"" in Asia Pacific - Singapore http://opsg.in/i/161",1
"ALARM: ""[ELB][production-plenty][Warning] ELB 5XX"" in Asia Pacific - Singapore http://opsg.in/i/160",1
"ALARM: ""[ELB][production-plenty][Warning] ELB 5XX"" in Asia Pacific - Singapore http://opsg.in/i/159",1
"NasabahYth, KK MasterCard Gold Anda akan jth tempo pd tanggal 13/09/16 dg min.pmbayaran Rp 1495227. Mohon abaikan jk sdh lakukan pembayaran. Info 14041",1
"ALARM: ""[ELB][production-plenty][Warning] ELB 5XX"" in Asia Pacific - Singapore http://opsg.in/i/153",1
"ALARM: ""[ELB][production-plenty][Warning] ELB 5XX"" in Asia Pacific - Singapore http://opsg.in/i/148",1
"ALARM: ""[ELB][production-plenty][Warning] ELB 5XX"" in Asia Pacific - Singapore http://opsg.in/i/145",1
"ALARM: ""[ELB][production-plenty][Warning] ELB 5XX"" in Asia Pacific - Singapore http://opsg.in/i/139",1
"[Test Alert] Server apollo average CPU utilization has been over 60% for 15 minutes http://opsg.in/i/136",1
"Sudah cek pulsamu di *111*1#? Ayo coba isi kuotamu dengan Internet 3GB 3 hari hanya Rp30000. Balas SMS ini dgn ketik GH utk membeli. N242",1
"RBT GRATIS 30hr pertama paket tahunan : 1. Abang Goda - Duo Serigala2. Kekasihku - Ayu Ting Ting3. Bang Jono (HM) - Zaskia Gotik4. Uwiw Uwiw reff - Cita Citata5. Maunya Digoyang MIX - Iva LolaS dan K berlaku. Pilih dan balas sesuai nomor urut, ketik: 1, 2, 3, 4 atau 5
                                                       RBT Gratis 30 hr lainy klik disni http://bit.ly/Gratis30Hari",0
"Gunakan kode OTP t6r7w75s atas pembayaran belanja Anda pada merchant Blibli.com sejumlah Rp. 80.000. No transaksi 12002338261. BCA KlikPay",1
"New Asus Zenfone 3, Built for Photography! Hanya Rp170.792/bln & nikmati cicilan 0% hingga 24bln*. Klik: http://blib.li/zenfone3sms (periode 7-13 Sep 2016).",1
"Sudah cek pulsamu di *111*1#? Ayo coba isi kuotamu dengan Internet 3GB 3 hari hanya Rp30000. Balas SMS ini dgn ketik GH utk membeli. N242",1
"Fun 4 the Weekend! Beli 2 Dapat 4 Tiket Nonton di semua lokasi Cinemaxx, 9-12 September 2016. Cek http://bit.ly/2bXSIsJ",0
"Sudah cek pulsamu di *111*1#? Ayo coba isi kuotamu dengan Internet 3GB 3 hari hanya Rp30000. Balas SMS ini dgn ketik GH utk membeli. N242",1
"Use mPIN only for Financial Transactions. Please do not give to anyone else!
                                                       Valid until 07Sep16 08:46
                                                       956349
                                                       516128
                                                       561412
                                                       Ref no. RB3033259743",1
"Gratis Tiket Nonton bareng pemeran WARKOP DKI Reborn dengan
                                                       transaksi 200rb di 3Store Semanggi & Menara Mulia hingga 9 Sept
                                                       16. Tiket Terbatas!",0
"PROMO RBT Hidupku Kan Damaikan Hatimu dr Caffeine  GRATIS 30hr pertama paket tahunan, selanjutnya S dan K berlaku dan promo lain cek http://rbt.tri.co.id. Untuk aktivasi balas: Y",0
"Mau berbagi Pulsa ke Sesama Pengguna Telkomsel? Ketik *858*NomorTujuan*NominalTransfer# lalu tunggu SMS konfirmasinya.",1
"Nomor Anda telah diisi dengan nomor SN 6090521225221240140.",1
"#BINUSJOBEXPO  7-8 September  2016. BINUS UNIV. Terbuka utk UMUM & GRATIS. daftar & lengkapi CV anda di http://jobexpo.binuscareer.com. Line: @binuscareer",1
"Terus manjakan dia dgn sajak-sajak indah yang menyanjung hati.
                                                       Gampang kok Cuma ketik *444*4#. Info: 123",0
"Dapatkan e-voucher Share Tea untuk tiap pembelian pulsa Tri di aplikasi Dealoka sampai dengan 11 Sep 2016, klik http://bit.ly/2bNOlCQ Info123. M110",0
"Hai Sahabat Tri, Ini Harimu! Selamat Hari Pelanggan Nasional!
                                                       Terima kasih telah setia dan menjadi pelanggan Tri",1
"Nikmati lebih dari 35000 jam film dan tv seri pilihan di hape
                                                       kamu. Yuk aktifkan di http://www.hooq.tv dan download appsnya di
                                                       app store/play store hapemu skrg jg!",0
"Lelah soal macet,sampah,banjir,parkir liar,dll? Ayo Lapor lewat
                                                       QLUE! Agar ditindaklanjuti Pemerintah. Download sekarang
                                                       bit.ly/qlueandroid #BERANIBERUBAH",0
"Gratis Tiket Nonton bareng pemeran WARKOP DKI Reborn dengan
                                                       transaksi 200rb di 3Store Semanggi & Menara Mulia hingga 9 Sept
                                                       16. Tiket Terbatas!",0
"Gunakan kode OTP ponfbtf5 atas pembayaran belanja Anda pada merchant bukalapak.com sejumlah Rp. 1.901.750. No transaksi BL161116YU5RINV. BCA KlikPay",1
"Terima kasih telah menggunakan jasa TIKI. Hari ini, kurir TIKI akan mengantar kiriman dengan nomor 030036636333. Untuk informasi lebih lanjut, hubungi 1500125.",1
"Bagaimana jika pasangan tak lagi tertarik dgn kamu? Yuk cek
                                                       tipsnya di *444# . Info: 123",0
"Mau Facebook-an tapi tdk punya akses internet? tekan *325# kamu
                                                       bisa facebook-an sepuasnya, mulai dari perbarui status,kirim
                                                       pesan, komentar & lainnya. Info:123",0
"RBT GRATIS 30Hr pertama paket tahunan untuk kamu1. Andai Kau Bisa Mengerti - Nikita Willy.2. Pergi Dari Hatiku New Version - Aliando.3. Bahagia Dengan Cinta - the FREAKS.S dan K berlaku dan RBT KECE lain cek http://rbt.tri.co.id.  Pilih lagu yg km suka sesuai nomor urut. Balas ketik: 1, 2, atau 3",0
"Pesanan Anda Xiaomi Original USB C Travel C... (12002142285) telah diterima ALI pada 31/8/2016. Terima kasih telah berbelanja di Blibli.com.",1
"Gentle Reminder: SplunkLive! Registration start tomorrow morning, 8:30am @ Fairmont Hotel Jakarta, Ground Floor Ballroom 1, Jl. Asia Afrika No.8, Senayan-South, Jakarta",1
"Gak mau kalah eksis dengan temanmu? Cukup login lewat Facebook
                                                       Xpress di *325#. Nikmati kemudahan untuk tetap eksis di media sosial.",0
"Gratis Tiket Nonton bareng pemeran WARKOP DKI Reborn dengan
                                                       transaksi 200rb di 3Store Semanggi & Menara Mulia hingga 9 Sept
                                                       16. Tiket Terbatas!",0
"Gak mau kalah eksis dengan temanmu? Cukup login lewat Facebook
                                                       Xpress di *325#. Nikmati kemudahan untuk tetap eksis di media sosial.",0
"Brooohhh gw udh sampe. Zizah.",1
"Mau Facebook-an tapi tdk punya akses internet? tekan *325# kamu
                                                       bisa facebook-an sepuasnya, mulai dari perbarui status,kirim
                                                       pesan, komentar & lainnya. Info:123",0
"From BCA: Your Authorisation code is 345185 for the purchase at Bukalapakcom, amount IDR 2.220.130,00. Valid for 5 mins. Resend 1 of 3.",1
"Kamu dpt BONUS BICARA 24 jam ke semua Tri yang berlaku di 16 kota, cek di *111# pilih isi ulang promo atau http://tri.co.id/pulsa/bonusbicara",0
"Pengisian Rp30000 sukses. Masa aktif s/d 28/10/2026. Akhir masa tenggang 27/11/2026.Mau kuota hemat 300MB(Rp10rb)?ketik MAU(spasi)300MB kirim ke 234/*123*3*3# ",1
"Use mPIN only for Financial Transactions. Please do not give to anyone else!
                                                       Valid until 29Aug16 20:16
                                                       340636
                                                       266267
                                                       555989
                                                       Ref no. RB3032985824",1
"HUT ke-9 deBLITZ'R Dental Care. DISCOUNT BESAR2an (29agst - 30 sept) SCALLING 100rb, TAMBAL SINAR 100rb, CROWN 1,2jt. Senin s/d Jumat, 09-13.00 (021-53664742)",1
"Mau tampil cantik luar dalam? Dapatkan tips & trik seputar
                                                       kecantikan lainnya ketik *103*7#. Hanya Rp200/hari.Info:123",0
"Direksi dan Karyawan CIMB Sun Life mengucapkan Selamat Ulang Tahun, semoga kesehatan, kebahagiaan, kesuksesan, cinta dan kasih sayang selalu beserta anda",1
"krn pulsa/limit tidak mencukupi. Dptkan informasi seputar kartu Tri di *123# atau via aplikasi BIMATRI",0
"Mau Facebook-an tapi tdk punya akses internet? tekan *325# kamu
                                                       bisa facebook-an sepuasnya, mulai dari perbarui status,kirim
                                                       pesan, komentar & lainnya. Info:123",0
"Sudah cek pulsamu di *111*1#? Ayo coba isi kuotamu dengan Internet Harian 200MB hanya Rp2000. Balas SMS ini dgn ketik GB utk membeli. N219",0
"Gak mau kalah eksis dengan temanmu? Cukup login lewat Facebook
                                                       Xpress di *325#. Nikmati kemudahan untuk tetap eksis di media sosial.",0
"3 HARI SAJA! New Redmi 3 Prime exclusive at Blibli.com. Nikmati DISKON up to Rp200rb dan Cicilan 0% mulai dari Rp104.125/bulan. Klik http://blib.li/redmi3prime",0
"HEMAT 45% paket 5GB skrg CUMA Rp68rb & 30GB CUMA Rp137rb, nikmati harga khusus di MERDEKA HOT SALE hanya s/d 31 Agustus. Beli di *111*1*4#.D975",0
"Yang spesial buat kamu, bayar SEDIKIT dapat BANYAK! HANYA Rp15.000 , dapat 1GB puas Internetan 7 hari. Beli Paket Harian 1GB 7 hari di *111*1#. Info123.D983",0
"Traveloka.com: Your e-ticket summary
                                                         27-08-2016/18:00/BATIK ID-6891/KNO-CGK/SCCWOO
                                                         Total: 1 passenger(s)",1
"WATSONS Exhibition at Main Atrium Mall Kelapa Gading 3 22-28 Aug. Get Discount up to 70% for best seller item & lot of prizes. T&C Apply.M111",0
"Assallamualaikum. Ayo aktifkan RBT YUK SHOLAT yg hanya aktif saat jam-jam Sholat dan kamu juga mengajak temanmu untuk Sholat lho. Untuk aktivasi balas: Y",0
"Use mPIN only for Financial Transactions. Please do not give to anyone else!
                                                       Valid until 26Aug16 00:27
                                                       250735
                                                       629848
                                                       607768
                                                       Ref no. RB3032873676",1
"Use mPIN only for Financial Transactions. Please do not give to anyone else!
                                                       Valid until 25Aug16 23:21
                                                       416051
                                                       183989
                                                       758437
                                                       Ref no. RB3032872935",1
"Use mPIN only for Financial Transactions. Please do not give to anyone else!
                                                       Valid until 25Aug16 19:23
                                                       459377
                                                       929100
                                                       202774
                                                       Ref no. RB3032867295",1
"Sore Nasabah yth, Reminder Personal loan Bank CIMB Niaga, Mohon dipastikan hari ini pembayarannya sudah masuk. Trims",1
"Nasabah Yth, kami informasikan terdapat transaksi Kredit sebesar 5,000,000.00 di rekening Tabungan No. 70137149**** pada jam 14:31:15",1
"Nasabah Yth, kami informasikan terdapat transaksi Kredit sebesar 5,000,000.00 di rekening Tabungan No. 70137149**** pada jam 14:31:01",1
"PROMO RBT Sayang dr Shae  GRATIS 30hr pertama paket tahunan, selanjutnya S dan K berlaku dan promo lain cek http://rbt.tri.co.id. Untuk aktivasi balas: Y",0
"Hati-hati penipuan! Layanan CIMB Clicks & Go Mobile tdk dikenakan biaya tambahan seperti biaya bulanan. Jgn berikan UserID, passcode, password, PIN kpd siapapun",1
"Mau Facebook-an tapi tdk punya akses internet? tekan *325# kamu
                                                       bisa facebook-an sepuasnya, mulai dari perbarui status,kirim
                                                       pesan, komentar & lainnya. Info:123",0
"Siang Nasabah yth, mohon kerjasamanya KTA Bank CIMB Niaga bulan Agustus dipastikan hari ini pembayarannya sudah masuk. Trims",1
"Suka Horor? Yuk nostalgia sama Hantu Juruk Purut,Tuyul, Suster N,
                                                       Rumah Hantu Pondok Indah&film lainnya d Genflix! Hub *393*2# utk
                                                       bsa lihat penampakannya.",0
"PROMO RBT Aku Dan Kamu Satu reff1 dr Sarah Saputri  GRATIS 30hr pertama paket tahunan, selanjutnya S dan K berlaku dan promo lain cek http://rbt.tri.co.id. Untuk aktivasi balas: Y",0
"Hi, sepertinya kamu mengalami kesulitan membuka akun Jenius. Utk bantuan hub 1500365. Aktifkan & dapatkan kejutan paket data dari Jenius (Tsel,XL,Indosat,Axis)",1
"Abang langsung aja ke siloam ya",1
"Cashback up to Rp 500 ribu + Cicilan BCA 0% up to 12 bulan di selected outlet Erafone dengan Kartu Kredit BCA s/d 4 Sept'16. Info 1500888",1
"Mau Facebook-an tapi tdk punya akses internet? tekan *325# kamu
                                                       bisa facebook-an sepuasnya, mulai dari perbarui status,kirim
                                                       pesan, komentar & lainnya. Info:123",0
"EXTRA KUOTA 100MB! Untuk setiap pembelian Internet 1GB (3 hari) seharga Rp10000 dptkan extra kuota 100MB (1 hari). Balas SMS ini dgn ketik LY utk membeli. N128",1
"Udah dimana abang skg",1
"Dimana abang skg",1
"Use mPIN only for Financial Transactions. Please do not give to anyone else!
                                                       Valid until 20Aug16 19:24
                                                       611669
                                                       077689
                                                       475193
                                                       Ref no. RB3032736255",1
"Devs,
                                                       
                                                       Kami mengirimakan email mengenai informasi DU Ads Challenge. Untuk anda yang memiliki produk min 100K download dapat ikut serta di challenge ini.
                                                       Thx",1
"EXTRA KUOTA 100MB! Untuk setiap pembelian Internet 1GB (3 hari) seharga Rp10000 dptkan extra kuota 100MB (1 hari). Balas SMS ini dgn ketik LY utk membeli. N128",1
"EXTRA KUOTA 100MB! Untuk setiap pembelian Internet 1GB (3 hari) seharga Rp10000 dptkan extra kuota 100MB (1 hari). Balas SMS ini dgn ketik LY utk membeli. N128",1
"G-715949 is your Google verification code.",1
"Mau Facebook-an tapi tdk punya akses internet? tekan *325# kamu
                                                       bisa facebook-an sepuasnya, mulai dari perbarui status,kirim
                                                       pesan, komentar & lainnya. Info:123",0
"Ikuti kisah para Comic dalam petualangan mereka! Tonton
                                                       Comic8:Casino King Part 2 exclusive di Klikfilm dijamin seru.
                                                       Hub.*393*5#. Info:0217989808",0
"Traveloka.com: Your e-ticket summary
                                                         19-08-2016/06:45/CITILINK QG-832/CGK-KNO/WYR47T
                                                         Total: 1 passenger(s)",1
"Confidential:
                                                       Paycode for CIMB Clicks transaction is
                                                       183244 
                                                       Valid until 16Aug16 23:11.
                                                       Reference: RB5041829176",1
"Traveloka.com: Ringkasan E-tiket Anda
                                                         21-08-2016/20:05/BATIK ID-7021/HLP-KNO/NCQMFY
                                                         Jumlah: 1 penumpang",1
"Confidential:
                                                       Paycode for CIMB Clicks transaction is
                                                       001528 
                                                       Valid until 16Aug16 17:55.
                                                       Reference: RB5041828616",1
"Use mPIN only for Financial Transactions. Please do not give to anyone else!
                                                       Valid until 16Aug16 17:49
                                                       420718
                                                       744783
                                                       922459
                                                       Ref no. RB3032650171",1
"Akses Citibank Live Chat utk berkomunikasi scr langsung dgn Chat Officer kami tentang info produk & layanan Citibank hanya dgn login ke www.citibank.co.id/login",1
"Kamu dpt BONUS BICARA 24 jam ke semua Tri yang berlaku di 16 kota, cek di *111# pilih isi ulang promo atau http://tri.co.id/pulsa/bonusbicara",1
"Pengisian Rp20000 sukses. Masa aktif s/d 28/09/2026. Akhir masa tenggang 28/10/2026.Mau kuota hemat 300MB(Rp10rb)?ketik MAU(spasi)300MB kirim ke 234/*123*3*3# ",1
"CUMA RP 1500! Kamu bisa dapat kuota internet 100MB (berlaku 1 hari). Balas SMS ini dgn ketik KZ utk membeli. N119",1
"Jangan lewatkan Merdeka Hot Sale 45% di *111*1# mulai tanggal 17
                                                       Agustus 2016, buat kamu di Hari Kemerdekaan RI ke 71. Merdeka!
                                                       Info123.D963",0
"Bonus pulsa 17% (Rp25.500) setiap isi pulsa Telkomsel Rp 150rb di CIMB Clicks, Go Mobile, OctoPay & Rekening Ponsel tgl 17 Agt'16. S&K berlaku. Info 14041",0
"Confidential:
                                                       Paycode for CIMB Clicks transaction is
                                                       298077 
                                                       Valid until 16Aug16 08:47.
                                                       Reference: RB5041827394",1
"Nasabah Yth, Terima kasih kami telah menerima pembayaran premi Polis XXXXX8853",1
"Kami Pusat Uji Kesehatan Manggala sebagai provider MCU PT Bank Mandiri, menjadwalkan Anda MCU tgl 16 Agus 2016 di Manggala wanabakti blok II/III lt 2 jl Gatot Subroto Jkt Pusat.Mohon tiba jam 08.00.Lokasi dekat stasiun KA Palmerah (dr stasiun hanya jalan kaki) dan ged MPR & ged Dept kehutanan.Puasa dr jam 22.00 hingga tiba di manggala.Selama puasa hanya boleh minum air putih. Bawa ftcopy  KTP 1 lbr & Alat tulis, Pakaian Rapi & Sopan. MOHON SEGERA KOMFIRMASI, HADIR/TIDAK_NAMA
                                                       TTD, maiga",1
"Kami Pusat Uji Kesehatan Manggala sebagai provider MCU PT Bank Mandiri, menjadwalkan Anda MCU tgl 16 Agus 2016 di Manggala wanabakti blok II/III lt 2 jl Gatot Subroto Jkt Pusat.Mohon tiba jam 08.00.Lokasi dekat stasiun KA Palmerah (dr stasiun hanya jalan kaki) dan ged MPR & ged Dept kehutanan.Puasa dr jam 22.00 hingga tiba di manggala.Selama puasa hanya boleh minum air putih. Bawa ftcopy  KTP 1 lbr & Alat tulis, Pakaian Rapi & Sopan. MOHON SEGERA KOMFIRMASI, HADIR/TIDAK_NAMA
                                                       TTD, maiga",1
